borrower_id,age,state,education_level,employment_status,years_employed,annual_income,credit_score,home_ownership,dependents,existing_monthly_debt
BRW-0001,62,CT,High School,Self-Employed,6,31020,596,Rent,1,892
BRW-0002,24,CO,High School,Full-Time,4,40188,543,Own,2,869
BRW-0003,50,NC,Bachelor,Contract,22,41014,611,Mortgage,0,1806
BRW-0004,43,TX,High School,Full-Time,19,35036,701,Mortgage,2,928
BRW-0005,46,NY,High School,Full-Time,18,44528,715,Own,0,608
BRW-0006,40,OR,Doctorate,Contract,8,157047,749,Mortgage,1,3076
BRW-0007,35,GA,Bachelor,Self-Employed,5,84210,576,Mortgage,0,1682
BRW-0008,62,KY,Bachelor,Full-Time,14,61289,563,Rent,1,939
BRW-0009,35,UT,Master,Part-Time,15,63908,643,Mortgage,2,646
BRW-0010,30,WA,Associate,Part-Time,6,22845,824,Rent,1,1044
BRW-0011,30,KY,Bachelor,Full-Time,2,43606,586,Mortgage,2,1265
BRW-0012,46,FL,Bachelor,Retired,0,44614,813,Rent,2,1184
BRW-0013,39,AL,Master,Full-Time,14,79782,615,Own,3,1207
BRW-0014,54,IN,Master,Full-Time,19,63730,850,Rent,2,671
BRW-0015,32,CA,Bachelor,Self-Employed,9,74436,535,Mortgage,0,1435
BRW-0016,41,OR,Associate,Full-Time,2,55611,570,Rent,0,1994
BRW-0017,30,AZ,High School,Full-Time,8,41753,665,Rent,4,1790
BRW-0018,68,MA,Bachelor,Self-Employed,28,66055,726,Rent,0,893
BRW-0019,43,TX,High School,Part-Time,2,23712,528,Rent,0,993
BRW-0020,43,UT,High School,Full-Time,17,45948,639,Own,3,1294
BRW-0021,37,AZ,Master,Contract,13,70937,584,Mortgage,1,2450
BRW-0022,65,OH,Bachelor,Part-Time,6,24456,698,Own,1,244
BRW-0023,33,MO,Associate,Full-Time,12,72054,761,Rent,0,2258
BRW-0024,56,TN,Master,Retired,10,80449,661,Mortgage,0,1679
BRW-0025,25,AL,High School,Full-Time,2,36142,757,Mortgage,4,987
BRW-0026,67,NJ,Bachelor,Full-Time,34,54489,559,Own,0,1553
BRW-0027,54,NY,Master,Full-Time,5,59480,790,Rent,2,1921
BRW-0028,37,AZ,Bachelor,Retired,1,46167,826,Mortgage,2,1279
BRW-0029,42,MN,Master,Full-Time,8,116049,667,Mortgage,2,2694
BRW-0030,26,IN,High School,Part-Time,0,23219,576,Mortgage,0,999
BRW-0031,26,KY,Master,Full-Time,5,68134,813,Mortgage,2,306
BRW-0032,57,FL,Associate,Self-Employed,16,72778,603,Own,2,774
BRW-0033,40,NC,Bachelor,Self-Employed,8,53589,850,Mortgage,3,2112
BRW-0034,27,NC,Bachelor,Contract,2,43412,700,Mortgage,0,980
BRW-0035,67,VA,Bachelor,Full-Time,34,45400,606,Own,2,469
BRW-0036,30,GA,High School,Full-Time,5,55244,550,Own,2,1044
BRW-0037,57,KY,Master,Full-Time,15,107852,624,Rent,3,4410
BRW-0038,23,KY,High School,Retired,1,29964,735,Mortgage,2,602
BRW-0039,24,KY,Master,Full-Time,2,124663,785,Mortgage,3,1677
BRW-0040,64,WA,High School,Full-Time,22,52825,672,Mortgage,2,2077
BRW-0041,43,NC,Master,Full-Time,18,137860,641,Rent,0,4001
BRW-0042,44,MD,Master,Full-Time,3,106612,806,Mortgage,0,641
BRW-0043,49,MN,High School,Retired,11,24811,625,Mortgage,3,747
BRW-0044,64,SC,Master,Self-Employed,26,80367,698,Mortgage,0,761
BRW-0045,48,WA,Bachelor,Full-Time,19,88330,629,Mortgage,1,369
BRW-0046,40,MN,Associate,Self-Employed,14,57427,694,Mortgage,0,1371
BRW-0047,32,LA,Bachelor,Full-Time,5,82953,850,Own,0,1418
BRW-0048,34,MA,High School,Full-Time,13,57034,842,Rent,1,1734
BRW-0049,34,CT,Master,Full-Time,10,88890,615,Rent,2,3222
BRW-0050,28,GA,Master,Full-Time,7,123592,815,Own,3,1139
BRW-0051,30,CT,Master,Self-Employed,5,139361,850,Rent,1,5313
BRW-0052,54,LA,Bachelor,Contract,30,69049,616,Mortgage,0,2122
BRW-0053,55,NJ,Bachelor,Full-Time,15,68663,681,Mortgage,3,516
