loan_id,borrower_id,application_date,loan_purpose,loan_amount,term_months,interest_rate,monthly_payment,dti_ratio,loan_status,days_delinquent,defaulted
LN-00001,BRW-0001,2024-01-08,Vacation,16100.0,36,13.05,542.86,55.5,Paid Off,0,0
LN-00002,BRW-0001,2024-08-13,Major Purchase,5600.0,48,14.21,153.62,40.4,Default,138,1
LN-00003,BRW-0002,2025-06-28,Moving,44700.0,36,12.37,1492.59,70.5,Paid Off,0,0
LN-00004,BRW-0003,2025-05-18,Auto Loan,9200.0,48,11.18,238.58,59.8,Default,34,1
LN-00005,BRW-0004,2025-03-24,Moving,11200.0,36,9.66,359.61,44.1,Current,0,0
LN-00006,BRW-0005,2025-04-19,Education,28600.0,48,13.07,768.26,37.1,Current,0,0
LN-00007,BRW-0006,2024-07-04,Medical Expenses,39200.0,12,10.23,3450.5,49.9,Paid Off,0,0
LN-00008,BRW-0007,2025-03-29,Home Improvement,36300.0,48,14.26,996.69,38.2,Default,38,1
LN-00009,BRW-0007,2024-08-01,Business Loan,39000.0,60,13.73,902.01,36.8,Current,0,0
LN-00010,BRW-0008,2024-11-01,Debt Consolidation,28400.0,12,11.88,2521.71,67.8,Default,43,1
LN-00011,BRW-0009,2024-06-20,Business Loan,13300.0,48,10.91,343.16,18.6,Current,0,0
LN-00012,BRW-0009,2024-06-07,Business Loan,2700.0,48,12.73,72.07,13.5,Current,0,0
LN-00013,BRW-0010,2024-06-06,Wedding,15700.0,12,6.57,1355.36,126.0,Current,0,0
LN-00014,BRW-0011,2024-01-22,Moving,38300.0,48,13.9,1044.68,63.6,Current,0,0
LN-00015,BRW-0012,2024-07-13,Vacation,28800.0,60,9.94,611.06,48.3,Current,0,0
LN-00016,BRW-0012,2025-06-27,Vacation,23700.0,60,7.25,472.09,44.5,Default,105,1
LN-00017,BRW-0013,2024-07-08,Moving,2000.0,60,11.65,44.14,18.8,Current,0,0
LN-00018,BRW-0013,2024-07-13,Wedding,34300.0,60,13.85,795.44,30.1,Current,0,0
LN-00019,BRW-0014,2024-03-09,Education,17500.0,12,8.45,1525.94,41.4,Default,63,1
LN-00020,BRW-0015,2025-02-01,Debt Consolidation,20600.0,12,11.24,1822.97,52.5,Paid Off,0,0
LN-00021,BRW-0016,2024-08-01,Education,23100.0,12,15.15,2086.6,88.1,Late,15,0
LN-00022,BRW-0017,2024-02-29,Debt Consolidation,23300.0,48,13.03,625.43,69.4,Current,0,0
LN-00023,BRW-0018,2024-08-24,Auto Loan,7200.0,60,8.39,147.34,18.9,Current,0,0
LN-00024,BRW-0019,2025-01-01,Medical Expenses,13700.0,12,15.03,1236.73,112.8,Current,0,0
LN-00025,BRW-0020,2025-03-29,Medical Expenses,23300.0,24,12.02,1097.03,62.4,Late,15,0
LN-00026,BRW-0021,2024-08-07,Education,32400.0,36,13.31,1096.53,60.0,Default,170,1
LN-00027,BRW-0021,2024-02-05,Auto Loan,23700.0,48,10.27,604.17,51.7,Current,0,0
LN-00028,BRW-0022,2024-01-23,Auto Loan,7400.0,24,12.65,350.59,29.2,Late,15,0
LN-00029,BRW-0022,2024-02-08,Moving,13600.0,60,9.14,283.24,25.9,Current,0,0
LN-00030,BRW-0023,2024-08-10,Business Loan,34200.0,12,10.17,3009.43,87.7,Paid Off,0,0
LN-00031,BRW-0023,2024-04-07,Medical Expenses,45200.0,60,11.41,992.02,54.1,Paid Off,0,0
LN-00032,BRW-0024,2025-03-20,Home Improvement,46200.0,36,10.72,1506.41,47.5,Late,15,0
LN-00033,BRW-0025,2025-06-20,Wedding,32400.0,48,7.65,785.67,58.9,Default,168,1
LN-00034,BRW-0026,2025-02-06,Education,12400.0,12,14.05,1113.65,58.7,Current,0,0
LN-00035,BRW-0027,2025-05-02,Major Purchase,16400.0,24,8.51,745.55,53.8,Current,0,0
LN-00036,BRW-0028,2024-07-21,Moving,27100.0,24,8.64,1233.59,65.3,Current,0,0
LN-00037,BRW-0029,2024-04-01,Moving,5400.0,48,10.5,138.26,29.3,Default,135,1
LN-00038,BRW-0030,2024-06-22,Education,5500.0,12,14.25,494.48,77.2,Paid Off,0,0
LN-00039,BRW-0031,2025-01-17,Medical Expenses,46400.0,24,7.45,2086.93,42.1,Current,0,0
LN-00040,BRW-0032,2024-04-23,Business Loan,46500.0,36,10.02,1500.86,37.5,Current,0,0
LN-00041,BRW-0033,2024-05-24,Business Loan,16200.0,36,8.58,511.99,58.8,Current,0,0
